"82207","Florencia","137TR",+0016.0000,12,20000801,12,20000821
"70595","Milán","219SY",+0018.2800,12,20000801,12,20000821
"93196","Miami Beach","335GB",+0009.3100,12,20000801,12,20000821
"66160","París I","305CH",+0018.0300,12,20000801,12,20000821
"55187","Roma ","266BP",+0004.7900,12,20000801,12,20000821
"35933","Manhattan I","166TR",+0005.0800,12,20000801,12,20000821
"28708","Londres II ","290BC",+0041.7900,12,20000801,12,20000821
"80394","Miami Beach","334RF",+0006.5100,12,20000801,12,20000821
"95647","Londres I","276TP",+0006.2100,12,20000801,12,20000821
"51780","Roma ","022CA",+0003.7800,90,20000801,90,20000815
"60808","Londres II ","300CH",+0012.2900,12,20000801,12,20000821
"4304 ","Munich ","047SG",+0002.1800,40,20000801,40,20000815
"25859","Miami Beach","336BN",+0011.1500,12,20000801,12,20000821
"873","Manhattan II ","290BC",+0041.7900,12,20000801,12,20000821
"61983","París I","295GS",+0009.3600,48,20000801,48,19000904
"44610","Munich ","049BO",+0007.0000,10,20000801,10,20000815
"55443","Londres II ","044LE",+0001.7200,10,20000801,10,20000815
"26347","Munich ","050BR",+0004.2200,10,20000801,10,20000815
"4707 ","Liverpool","233CS",+0023.1500,12,20000801,12,20000821
"91340","Manhattan II ","300CH",+0012.2900,12,20000801,12,20000821
"60373","Manhattan II ","289BR",+0049.5700,12,20000801,12,20000821
"91498","Florencia","138TC",+0005.1400,12,20000801,12,20000821
"21066","París I","294SH",+0008.4800,12,20000801,12,19000904
"48799","Madrid ","108CA",+0003.6800,12,20000801,12,20000821
"59986","Londres I","033PE",+0005.2900,10,20000801,10,20000815
"86762","Roma ","267BP",+0004.9500,12,20000801,12,20000821
"27130","París I","306CS",+0005.6700,12,20000801,12,20000821
"68439","Londres II ","291BC",+0066.8200,12,20000801,12,20000821
"54785","Londres I","279BS",+0012.8600,12,20000801,12,20000821
"79795","París I","052BR",+0004.4100,10,20000801,10,20000815
"25326","Roma ","023CH",+0006.0400,10,20000801,10,20000815
"43634","Munich ","305CH",+0018.0300,12,20000801,12,20000821
"47449","Liverpool","234CH",+0024.8300,12,20000801,12,20000821
"82505","Londres II ","045MA",+0002.6100,50,20000801,50,20000815
"64437","París I","051PE",+0006.6400,10,20000801,10,20000815
"93517","Fort Lauderdale","150TR",+0005.5200,12,20000801,12,20000821
"54541","Munich ","293YG",+0008.2000,12,20000801,12,19000904
"72715","Madrid ","110AR",+0003.3400,48,20000801,48,20000821
"22014","Munich ","295GS",+0009.3600,48,20000801,48,19000904
"87359","Roma ","268CC",+0006.2800,60,20000801,60,20000821
"62064","Londres I","034RA",+0003.9200,10,20000801,10,20000815
"15323","Munich ","294SH",+0008.4800,12,20000801,12,19000904
"23120","Manhattan I","168TR",+0007.8900,12,20000801,12,20000821
"69157","Londres I","278SY",+0003.4300,12,20000801,12,20000821
"26406","Roma ","024CH",+0004.9600,10,20000801,10,20000815
"5132 ","Londres II ","301ME",+0017.4400,12,20000801,12,20000821
"37955","Munich ","052BR",+0004.4100,10,20000801,10,20000815
"99695","Miami Beach","338CO",+0101.1000,12,20000801,12,20000821
"91236","Liverpool","235CS",+0024.3800,12,20000801,12,20000821
"25106","Florencia","141TC",+0007.0200,12,20000801,12,20000821
"54189","Manhattan II ","301ME",+0017.4400,12,20000801,12,20000821
"55665","Barcelona","130SH",+0002.4800,12,20000801,12,20000821
"66358","París I","296SW",+0009.5300,12,20000801,12,20000821
"88446","Manhattan I","170TC",+0003.4000,12,20000801,12,20000821
"24595","Roma ","269CC",+0014.0000,12,20000801,12,20000821
"66595","Roma ","270CC",+0006.0800,12,20000801,12,20000821
"76096","Munich ","051PE",+0006.6400,10,20000801,10,20000815
"48106","París I","307MA",+0005.1100,12,20000801,12,20000821
"10093","Londres I","282BC",+0016.4200,12,20000801,12,20000821
"14604","París I","297ME",+0012.0900,12,20000801,12,20000821
"33969","Londres I","035RE",+0006.2200,20,20000801,20,20000815
"12331","Barcelona","132DC",+0002.4700,24,20000801,24,20000821
"33416","Miami Beach","083QC",+0004.5600,10,20000801,10,20000815
"18639","Roma ","025CO",+0003.4100,10,20000801,10,20000815
"48831","Munich ","053CA",+0005.8800,10,20000801,10,20000815
"10415","Madrid ","111HS",+0002.8500,12,20000801,12,20000821
"26250","París II ","221CH",+0018.6500,12,20000801,12,20000821
"73879","Fort Lauderdale","152TR",+0017.2400,12,20000801,12,20000821
"86351","Florencia","142TG",+0014.5800,24,20000801,24,20000821
"21317","París I","310CB",+0004.4200,12,20000801,12,20000821
"57474","Barcelona","131RT",+0002.3400,24,20000801,24,20000821
"68479","Manhattan I","171TC",+0002.6900,12,20000801,12,20000821
"31285","Roma ","271CC",+0008.0200,12,20000801,12,20000821
"95741","Londres I","283BC",+0015.7100,276,20000801,276,20000821
"40408","Milán","226CR",+0021.8600,12,20000801,12,20000821
"27197","Londres II ","302SC",+0019.0900,12,20000801,12,20000821
"95023","París I","308ME",+0005.1800,12,20000801,12,20000821
"64236","París I","309CS",+0004.9900,12,20000801,12,20000821
"25792","París I","299CS",+0012.4600,12,20000801,12,20000821
"73460","París II ","220PN",+0017.1300,12,20000801,12,20000821
"48987","Munich ","296SW",+0009.5300,12,20000801,12,20000821
"31132","Londres II ","304CH",+0010.8000,12,20000801,12,20000821
"27989","Munich ","297ME",+0012.0900,12,20000801,12,20000821
"7496 ","Roma ","026DM",+0005.1300,10,20000801,10,20000815
"77037","Londres II ","049BO",+0007.0000,10,20000801,10,20000815
"73241","Londres II ","050BR",+0004.2200,10,20000801,10,20000815
"61314","Miami Beach","084TE",+0005.0200,10,20000801,10,20000815
"6350 ","Fort Lauderdale","153TR",+0007.8600,12,20000801,12,20000821
"5327 ","París II ","222FB",+0020.1700,12,20000801,12,20000821
"24031","París I","311CB",+0008.4100,12,20000801,12,20000821
"73340","Manhattan II ","049BO",+0007.0000,10,20000801,10,20000815
"35760","Manhattan I","172TC",+0004.0200,12,20000801,12,20000821
"10893","Manhattan II ","050BR",+0004.2200,10,20000801,10,20000815
"59526","Roma ","272CC",+0009.6300,12,20000801,12,20000821
"52835","Londres II ","303SE",+0009.6600,12,20000801,12,20000821
"97570","Londres I","037RO",+0006.5200,180,20000801,180,20000815
"78507","Londres I","284BS",+0013.4800,24,20000801,24,20000821
"68895","Munich ","310CB",+0004.4200,12,20000801,12,20000821
"22609","Madrid ","112PE",+0006.6800,12,20000801,12,20000821
"75426","Londres II ","305CH",+0018.0300,12,20000801,12,20000821
"94902","Munich ","308ME",+0005.1800,12,20000801,12,20000821
"41185","Munich ","299CS",+0012.4600,12,20000801,12,20000821
"86165","Liverpool","236TR",+0013.1400,12,20000801,12,20000821
"93636","Londres I","040ED",+0002.5700,10,20000801,10,20000815
"50816","Fort Lauderdale","154TR",+0004.6600,12,20000801,12,20000821
